-2,-2|2,1|
0,-1|1,3|
-1,0|11,1|
2,-2|1,3|
4,-2|1,6|
5,-2|3,1|
0,2|6,1|
0,3|1,5|
2,2|1,9|
-2,0|1,19| :10
-2,9|3,1|
0,10|2,1|
1,10|1,5|
0,12|2,1|
0,14|1,3|
1,16|1,15|
-1,18|3,1|
1,17|7,1|
3,13|1,3|
4,15|4,1| :20
4,15|1,3|
4,13|4,1|
2,9|6,1|
4,9|1,3|
5,11|3,1|
7,10|1,3|
4,5|1,3|
5,5|4,1|
5,3|3,1|
5,3|1,1| :30
7,2|3,1|
9,3|1,3|
9,4|5,1|
12,4|1,1|
11,5|5,1|
5,7|7,1|
9,7|1,4|
11,5|6,1|
10,10|3,1|
12,11|1,4| :40
9,12|13,1|
9,13|1,2|
10,14|2,1|
7,16|12,1|
14,11|1,6|
14,14|5,1|
15,10|1,2|
15,11|1,1|
16,10|4,1|
16,12|1,5| :50
18,12|1,7|
19,11|1,2|
13,5|1,4|
14,6|2,1|
14,6|1,1|
15,-2|1,8|
9,-2|1,2|
10,-2|4,1|
13,-1|1,4|
11,2|2,1| :60
11,0|1,2|
14,8|8,1|
15,-2|4,1|
17,-2|1,11|
19,-1|1,10|
21,-2|1,9|
22,-2|13,1|
23,-2|1,6|
25,-2|1,4|
25,0|1,3| :70
26,1|2,1|
27,1|1,17|
21,5|5,1|
24,3|2,1|
24,4|1,4|
23,7|1,2|
29,9|6,1|
22,9|1,3|
21,11|3,1|
23,12|3,1| :80
25,13|1,4|
20,14|4,1|
23,15|5,1|
23,15|1,2|
20,16|3,1|
22,16|1,5|
19,18|7,1|
21,20|1,3|
3,19|5,1|
7,20|1,5| :90
1,21|7,1|
-2,20|3,1|
-2,21|1,2|
-1,22|1,3|
-1,24|1,5|
-1,28|3,1|
0,26|4,1|
1,23|3,1|
3,24|1,1|
-1,28|1,3| :100
-2,30|1,4|
-2,34|2,1|
-2,32|4,1|
1,33|1,2|
1,33|4,1|
3,27|1,5|
4,31|1,2|
5,32|2,1|
4,31|1,1|
5,30|1,3| :110
6,29|1,2|
7,28|1,2|
7,29|2,1|
8,30|8,1|
5,23|3,1|
7,22|6,1|
9,21|1,4|
10,22|1,2|
9,18|1,2|
10,18|7,1| :120
7,16|1,1|
11,18|1,3|
15,18|1,2|
12,20|1,2|
12,21|3,1|
14,22|1,3|
5,25|1,3|
6,24|1,2|
6,24|1,2|
5,26|6,1| :130
12,23|1,6|
12,26|3,1|
10,28|2,1|
10,29|1,2|
8,32|2,1|
6,33|3,1|
8,33|1,2|
9,34|2,1|
11,32|1,3|
11,33|6,1| :140
13,33|1,2|
14,33|1,2|
16,33|1,2|
17,34|3,1|
19,33|4,1|
13,30|1,2|
14,27|1,4|
18,20|2,1|
17,20|1,4|
16,21|2,1| :150
17,22|3,1|
16,23|1,7|
16,25|2,1|
16,26|2,1|
15,29|3,1|
15,29|1,1|
16,28|2,1|
15,31|3,1|
19,23|1,7|
21,24|1,4| :160
21,25|2,1|
19,27|4,1|
19,31|5,1|
20,29|1,5|
20,30|2,1|
21,31|1,1|
22,28|4,1|
23,28|1,2|
25,29|1,3|
26,30|1,3| :170
27,28|1,3|
25,30|1,1|
26,31|1,1|
27,30|1,1|
28,27|1,5|
28,28|1,2|
29,31|2,1|
29,29|6,1|
32,29|1,2|
34,29|1,2| :180
24,24|1,2|
25,25|2,1|
26,24|3,1|26
19,27|3,1|
29,27|3,1|
32,19|1,9|
32,20|2,1|
31,23|2,1|
32,24|2,1|
34,22|1,3| :190
22,22|8,1|
24,20|4,1|
25,19|1,2|
27,19|1,4|
28,19|2,1|
28,17|5,1|
26,9|1,2|
27,10|1,1|
30,0|3,1|
32,1|1,3| :200
32,2|6,1|
34,-1|1,4|
36,1|1,2|
37,0|1,2|
37,1|1,1|
36,-2|5,1|
38,-2|1,3|
43,-2|1,2|
40,-1|1,4|
40,-1|3,1| :210
41,1|1,7|
41,1|1,1|
39,2|2,1|
39,3|1,2|
40,4|2,1|
41,5|3,1|
36,1|1,4|
42,7|2,1|
42,7|1,2|
29,1|1,8| :220
30,1|1,1|
29,3|2,1|
30,8|4,1|
35,5|1,6|
29,21|2,1|
29,10|4,1|
30,10|1,3|
29,12|1,3|
30,14|1,4|
31,17|1,3| :230
32,15|1,2|
33,14|1,2|
33,15|3,1|
34,15|1,4|
35,16|1,1|
35,18|1,1|
32,11|1,2|
32,11|2,1|
33,12|5,1|
33,12|1,1| :240
36,10|1,4|
37,10|7,1|
39,10|1,3|
41,10|1,3|
43,11|1,5|
41,14|1,2|
42,14|2,1|
37,13|1,9|
37,14|3,1|
37,13|1,1| :250
39,15|1,1|
37,17|3,1|
36,20|2,1|
36,21|2,1|
36,22|5,1|
39,18|1,3|
40,20|1,1|
41,17|1,2|
42,17|2,1|
43,18|1,3| :260
42,21|1,8|
42,24|2,1|
38,24|3,1|
36,25|4,1|
39,24|1,2|
37,25|1,2|
35,26|2,1|
36,26|1,1|
32,26|2,1|
35,27|1,5| :270
35,30|1,2|
36,31|1,2|
32,32|5,1|
34,32|1,3|
35,34|1,1|
24,33|1,2|
25,34|3,1|
28,33|5,1|
37,28|1,7|
37,31|1,1| :280
39,27|1,2|
38,28|3,1|
40,27|1,1|
31,6|9,1|
33,5|2,1|
34,4|1,3|
35,4|3,1|
37,5|1,2|
35,6|1,2|
35,8|2,1| :290
38,8|2,1|
39,7|1,1|
43,28|1,3|
42,30|1,4|
41,33|3,1|
40,30|1,|5
39,30|1,1|
39,32|2,1|
38,34|4,1|
43,34|1,1| :300
